TransactionID,OrderDate,CustomerID,ProductID,RegionID,TeamID,Quantity,Revenue,Cost,Profit,TargetRevenue,ProcessingDays,Status,CompletionFlag,SatisfactionScore
T00040,2024-03-08,C055,P011,R05,T03,1,1709.27,1251.09,458.18,1311.42,5,Completed,Yes,
T00041,2025-10-04,C070,P032,R04,T03,6,4834.93,3966.41,868.52,5890.7,10,Delayed,Yes,2.0
T00042,2024-06-08,C177,P021,R18,T06,3,4066.6,3249.89,816.71,3486.3,4,Completed,Yes,5.0
T00043,2025-06-26,C056,P008,R03,T04,8,1877.78,1354.25,523.53,1951.11,3,Completed,Yes,5.0
T00044,2024-04-07,C175,P007,R08,T07,6,6660.14,4626.79,2033.35,5722.69,3,In Progress,No,
T00045,2025-08-04,C113,P028,R13,T03,1,1200.14,812.47,387.67,1351.62,6,Completed,Yes,5.0
T00046,2025-03-27,C051,P024,R16,T07,2,2779.69,1856.68,923.01,2261.7,7,Completed,Yes,5.0
T00047,2024-06-26,C219,P017,R02,T05,3,1440.53,1192.4,248.13,1461.83,5,Completed,Yes,5.0
T00048,2024-12-18,C083,P009,R02,T07,6,3794.2,3086.54,707.66,4314.0,10,Delayed,Yes,2.0
T00049,2024-03-31,C033,P004,R16,T03,1,1454.87,962.99,491.88,1407.11,2,Completed,Yes,3.0
T00050,2024-01-24,C184,P002,R12,T04,2,3274.71,2043.58,1231.13,2903.54,7,Delayed,Yes,1.0
T00051,2025-01-26,C027,P015,R06,T05,2,1199.32,996.79,202.53,1252.01,5,Completed,Yes,5.0
T00052,2024-11-17,C164,P023,R05,T04,1,490.15,365.34,124.81,553.92,3,Completed,Yes,5.0
T00053,2024-10-29,C039,P031,R01,T01,5,2440.68,1528.18,912.5,2451.45,2,Completed,Yes,
T00054,2024-11-15,C177,P030,R16,T01,8,7107.82,5272.98,1834.84,8752.96,7,Completed,Yes,3.0
T00055,2025-03-01,C115,P030,R03,T02,3,3348.0,2202.17,1145.83,2864.03,5,Completed,Yes,4.0
T00056,2024-10-20,C027,P029,R07,T01,2,2171.61,1652.16,519.45,2386.92,3,Completed,Yes,4.0
T00057,2025-01-24,C014,P031,,T02,6,2826.02,1799.72,1026.3,2905.75,2,Completed,Yes,
T00058,2025-10-10,C019,P022,R01,T02,1,1894.61,1337.48,557.13,1888.41,7,Completed,Yes,4.0
T00059,2024-10-17,C048,P002,R06,T02,2,3012.96,2301.43,711.53,3085.01,6,Completed,Yes,5.0
T00060,2025-02-14,C211,P026,R04,T03,6,2555.57,1980.21,575.36,2039.5,5,Completed,Yes,5.0
T00061,2024-02-18,C191,P005,R07,T07,5,10868.79,7170.86,3697.93,8745.73,2,Cancelled,No,
T00062,2024-05-14,C071,P018,R08,T06,2,1763.19,1281.82,481.37,1726.37,6,In Progress,No,
T00063,2025-01-05,C187,P020,R19,T05,5,1000.5,698.03,302.47,831.15,10,Delayed,Yes,2.0
T00064,2024-12-26,C102,P016,R01,T05,5,9400.72,6457.31,2943.41,9152.73,8,Completed,Yes,4.0
T00065,2024-04-19,C159,P032,R05,T03,5,5989.3,4613.78,1375.52,4517.99,5,Completed,Yes,4.0
T00066,2024-07-12,C169,P025,R17,T05,5,8069.98,5256.47,2813.51,7749.82,15,Delayed,Yes,1.0
T00067,2025-06-26,C115,P030,R15,T01,4,4134.0,2690.84,1443.16,3812.9,1,Completed,Yes,3.0
T00068,2024-08-10,C072,P023,R14,T03,8,3319.93,2647.04,672.89,3981.92,7,Completed,Yes,4.0
T00069,2024-08-08,C084,P031,R02,T01,2,955.83,740.7,215.13,974.69,5,Completed,Yes,4.0
T00070,2024-04-21,C066,P032,R06,T02,2,2109.39,1347.4,761.99,1917.39,7,In Progress,No,
T00071,2025-09-23,C009,P028,R02,T05,4,4697.78,3677.2,1020.58,6153.78,2,In Progress,No,
T00072,2024-09-06,C057,P021,R02,T07,3,2743.22,2204.71,538.51,3701.89,3,Completed,Yes,4.0
T00073,2025-11-14,C110,P016,R04,T06,3,4583.85,3436.35,1147.5,5290.15,15,Delayed,Yes,2.0
T00074,2024-05-24,C113,P015,R11,T01,1,691.5,433.28,258.22,671.18,12,Delayed,Yes,3.0
T00075,2024-12-27,C114,P012,R16,T06,2,3222.43,2397.71,824.72,3479.8,3,Completed,Yes,5.0
T00076,2024-11-12,C116,P010,R05,T04,2,2176.45,1708.76,467.69,2346.83,2,In Progress,No,
T00077,2024-07-07,C044,P003,R14,T02,2,1744.78,1454.29,290.49,1699.06,7,Completed,Yes,
T00078,2025-05-19,C025,P023,R16,T02,2,1314.55,980.61,333.94,,10,Delayed,Yes,
T00079,2024-11-02,C029,P003,R09,T06,4,3298.28,2751.95,546.33,3803.36,3,Completed,Yes,4.0
T00080,2025-03-25,C093,P030,R11,T04,1,1105.43,795.03,310.4,1032.39,4,Completed,Yes,4.0
T00081,2024-01-24,C058,P019,R12,T01,2,3471.98,2857.09,614.89,3704.49,5,Completed,Yes,
T00082,2025-11-16,C138,P017,R05,T05,8,3284.09,2117.23,1166.86,3897.08,7,Completed,Yes,4.0
T00083,2025-08-11,C088,P026,R02,T04,6,2136.28,1358.77,777.51,2165.38,8,Delayed,Yes,3.0
T00084,2025-07-03,C103,P011,R12,T01,3,3305.7,2128.75,1176.95,4036.68,8,Completed,Yes,
T00085,2025-05-06,C103,P020,R04,T01,8,1324.37,823.94,500.43,1372.95,8,Completed,Yes,
T00086,2024-10-08,C132,P010,R02,T07,1,908.32,596.32,312.0,1007.04,5,Completed,Yes,3.0
T00087,2024-03-11,C010,P027,R19,T02,10,12325.6,8206.1,4119.5,10266.09,5,Completed,Yes,3.0
T00088,2024-06-07,C059,P013,R01,T04,6,4232.59,3237.35,995.24,,6,Completed,Yes,4.0
T00089,2024-04-12,C119,P004,R03,T05,10,17109.16,11916.95,5192.21,13794.38,10,Delayed,Yes,3.0
T00090,2025-12-10,C141,P018,R10,T05,10,9174.75,6603.8,2570.95,9196.74,3,Completed,Yes,4.0
T00091,2025-08-02,C105,P022,R17,T06,6,8606.05,7165.43,1440.62,9590.76,2,Completed,Yes,
T00092,2024-08-03,C208,P015,R05,T05,3,1498.2,1188.83,309.37,1901.71,1,Cancelled,No,
T00093,2024-03-16,C178,P013,R19,T06,2,1781.23,1221.57,559.66,1636.28,6,In Progress,No,
T00094,2024-02-10,C108,P016,R02,T06,5,8768.2,6534.17,2234.03,8481.09,7,Completed,Yes,5.0
T00095,2024-04-11,C153,P010,R16,T02,6,7243.03,5272.15,1970.88,6002.96,5,Completed,Yes,3.0
T00096,2025-11-26,C220,P017,R16,T02,8,4419.76,3626.12,793.64,4408.33,3,Completed,Yes,4.0
T00097,2025-09-03,C040,P023,,T02,8,4335.32,3204.54,1130.78,,7,Completed,Yes,4.0
T00098,2024-06-03,C031,P001,R03,T01,8,2213.44,1576.36,637.08,,7,Delayed,Yes,2.0
T00099,2025-11-17,C098,P027,R05,T03,2,1843.33,1315.27,528.06,2289.12,1,Completed,Yes,4.0
T00100,2024-12-30,C023,P030,R03,T06,8,6662.44,4270.23,2392.21,7784.04,5,Completed,Yes,5.0
T00101,2024-05-21,C174,P013,R07,T07,2,1591.68,1286.61,305.07,1553.7,4,Completed,Yes,4.0
T00102,2024-02-27,C090,P031,R07,T03,3,1682.19,1096.75,585.44,1492.01,8,Delayed,Yes,3.0
T00103,2025-03-01,C160,P004,R14,T07,3,5331.5,4100.84,1230.66,4335.63,7,Completed,Yes,4.0
T00104,2024-03-27,C108,P009,R14,T04,1,705.32,454.61,250.71,572.09,8,Completed,Yes,4.0
T00105,2024-10-15,C203,P010,R01,T05,8,7411.97,4982.45,2429.52,8612.74,20,Delayed,Yes,2.0
T00106,2025-01-05,C033,P026,R04,T02,8,2574.74,2093.75,480.99,2858.9,2,Completed,Yes,4.0
T00107,2025-05-16,C093,P029,R11,T07,4,4747.47,3576.6,1170.87,4865.54,1,Completed,Yes,5.0
T00108,2024-08-26,C123,P007,R05,T01,3,3108.51,2344.01,764.5,3208.09,4,Completed,Yes,
T00109,2025-06-08,C007,P021,R01,T06,2,2478.26,1890.06,588.2,2386.94,12,Delayed,Yes,3.0
T00110,2025-04-03,C159,P003,R02,T03,2,1895.61,1410.83,484.78,1761.96,7,Completed,Yes,4.0
T00111,2024-02-10,C138,P025,R15,T05,8,15279.13,12276.49,3002.64,13457.87,8,Delayed,Yes,3.0
T00112,2025-02-10,C076,P005,R18,T03,8,13955.07,9533.99,4421.08,14520.19,8,Completed,Yes,5.0
T00113,2024-05-23,C075,P031,R07,T04,4,2286.88,1795.6,491.28,2013.59,5,Completed,Yes,4.0
T00114,2024-05-28,C198,P003,R16,T05,8,8207.41,5985.11,2222.3,7736.46,3,Completed,Yes,4.0
T00115,2025-08-20,C120,P016,R09,T03,3,4299.04,2713.51,1585.53,5275.61,6,Completed,Yes,4.0
T00116,2024-02-18,C203,P015,R09,T06,8,6290.56,4323.2,1967.36,5007.66,7,In Progress,No,
T00117,2024-05-12,C108,P025,R18,T02,4,8394.95,6639.15,1755.8,6710.39,2,In Progress,No,
T00118,2025-12-22,C178,P021,R14,T04,4,4797.05,3375.56,1421.49,4372.75,7,Completed,Yes,4.0
T00119,2025-11-21,C012,P031,R02,T02,2,1050.89,716.74,334.15,983.54,7,Completed,Yes,4.0
T00120,2024-12-21,C083,P028,R19,T04,2,2868.4,1845.77,1022.63,3333.76,6,Completed,Yes,4.0
T00121,2024-01-22,C036,P015,R04,T05,5,3770.12,2547.48,1222.64,3047.32,7,Completed,Yes,5.0
T00122,2024-05-18,C080,P031,R18,T06,2,1083.79,898.41,185.38,1003.65,4,Completed,Yes,4.0
T00123,2025-07-29,C024,P007,R06,T03,6,5127.44,4217.69,909.75,5627.24,4,Completed,Yes,4.0
T00124,2025-08-02,C178,P026,R10,T05,10,2959.77,1922.47,1037.3,3218.92,4,Completed,Yes,4.0
T00125,2024-12-04,C199,P015,R09,T07,4,2430.84,1596.28,834.56,2763.69,2,Completed,Yes,4.0
T00126,2025-09-20,C202,P021,R08,T05,5,4854.66,3948.8,905.86,6522.34,4,Completed,Yes,4.0
T00127,2025-01-16,C198,P030,R16,T06,3,3429.31,2322.49,1106.82,2862.77,5,Completed,Yes,
T00128,2025-10-31,C002,P025,R12,T07,2,2857.66,2320.62,537.04,3518.07,1,Completed,Yes,5.0
T00129,2024-12-07,C096,P010,R08,T04,1,960.57,685.42,275.15,1165.06,6,Delayed,Yes,3.0
T00130,2024-06-18,C044,P021,R07,T04,3,3081.38,2097.78,983.6,3185.61,15,Delayed,Yes,2.0
T00131,2025-01-06,C220,P030,R06,T04,8,9178.23,,2841.75,8744.68,2,Cancelled,No,
T00132,2024-06-15,C142,P032,R09,T04,3,2573.9,2125.54,448.36,2784.17,28,Delayed,Yes,4.0
T00133,2024-11-05,C150,P001,R13,T02,8,1927.71,1433.43,494.28,2063.6,2,Completed,Yes,5.0
T00134,2025-01-16,C061,P031,R13,T07,5,2529.95,2113.49,416.46,2412.86,20,Delayed,Yes,3.0
T00135,2024-08-27,C011,P003,R17,T06,3,2040.25,1665.62,374.63,2393.28,4,Completed,Yes,5.0
T00136,2025-11-19,C118,P013,R02,T03,1,716.81,538.99,177.82,797.15,7,Completed,Yes,5.0
T00137,2024-04-03,C020,P024,R16,T06,2,2452.88,1611.95,840.93,2393.78,2,Completed,Yes,5.0
T00138,2024-07-03,C016,P006,R14,T07,2,2277.8,1526.49,751.31,1992.35,4,Completed,Yes,4.0
T00139,2025-03-31,C147,P011,R10,T04,6,7637.62,5011.75,2625.87,7761.05,4,Completed,Yes,5.0
T00140,2024-02-19,C153,P011,R09,T02,3,4420.07,2818.25,1601.82,4277.61,1,Cancelled,No,
T00141,2025-02-14,C053,P004,R14,T04,2,3154.95,2172.58,982.37,,4,In Progress,No,
T00142,2024-10-19,C024,P005,R12,T01,4,6915.72,5219.85,1695.87,7831.44,1,Completed,Yes,3.0
T00143,2024-05-27,C190,P015,R13,,8,5880.57,4699.51,1181.06,5480.14,1,Cancelled,No,
T00144,2024-12-13,C136,P004,R14,T01,3,4134.53,3005.51,1129.02,4174.63,2,Completed,Yes,4.0
T00145,2024-12-03,C188,P022,R03,T07,1,1702.9,1349.58,353.32,1881.14,4,Completed,Yes,
T00146,2024-08-31,C012,P010,R05,T01,4,4106.42,2628.72,1477.7,4465.81,6,Delayed,Yes,3.0
T00147,2025-09-11,C179,P013,R05,T03,5,3377.89,2739.2,638.69,4267.62,6,Completed,Yes,5.0
T00148,2025-02-09,C060,P002,R10,T07,2,2863.75,2073.81,789.94,2619.64,1,Completed,Yes,5.0
T00149,2024-05-19,C111,P002,R07,T02,6,8584.2,6340.51,2243.69,9215.06,3,Completed,Yes,
T00150,2025-01-16,C045,P032,R05,T03,5,4745.1,3809.48,935.62,4861.75,8,Completed,Yes,4.0
T00151,2024-04-02,C015,P014,R07,T01,6,1754.57,1445.41,309.16,1486.98,3,Completed,Yes,3.0
T00152,2025-03-05,C135,P018,R11,T03,10,9454.23,6666.49,2787.74,8000.07,1,Cancelled,No,
T00153,2025-08-05,C080,P010,R18,T02,6,5716.15,4663.63,1052.52,5399.82,4,Completed,Yes,3.0
T00154,2024-06-06,C112,P001,R06,T03,6,1716.29,1064.87,651.42,1481.67,3,Completed,Yes,
T00155,2024-01-21,C024,P008,R01,T04,2,621.09,506.76,114.33,520.02,4,Completed,Yes,5.0
T00156,2024-04-06,C142,P001,R13,T04,2,515.7,366.75,148.95,583.2,8,Delayed,Yes,2.0
T00157,2024-02-25,C174,P008,R19,T03,6,1767.72,1135.04,632.68,1499.47,5,Completed,Yes,3.0
T00158,2025-09-09,C024,P001,R12,T05,10,2518.36,2071.78,446.58,2546.61,4,Completed,Yes,
T00159,2025-06-06,C194,P010,R02,T06,8,7605.64,5410.04,2195.6,8385.45,37,Completed,Yes,5.0
T00160,2024-07-14,C062,P032,R16,T04,5,4699.54,3261.94,1437.6,5226.24,6,Completed,Yes,4.0
T00161,2024-02-13,C203,P010,R16,T06,8,8260.77,6108.45,2152.32,7368.19,7,Completed,Yes,5.0
T00162,2025-01-31,C075,P020,R14,T02,6,1070.34,877.58,192.76,1022.01,5,Completed,Yes,5.0
T00163,2025-03-10,C038,P016,R06,T03,8,17481.81,11233.16,6248.65,13118.25,8,Delayed,Yes,
T00164,2024-05-13,C188,P032,R13,T04,2,2128.94,1503.38,625.56,1904.06,2,Completed,Yes,4.0
T00165,2024-09-02,C133,P029,R02,T06,3,3004.84,2042.81,962.03,4472.42,2,Completed,Yes,5.0
T00166,2025-09-18,C204,P026,R05,T01,1,302.97,241.68,61.29,361.01,7,Completed,Yes,5.0
T00167,2025-12-20,C209,P017,R03,T05,5,2626.36,1792.14,834.22,2776.05,2,Completed,Yes,4.0
T00168,2025-02-22,C201,P026,R16,T02,10,4348.4,3354.92,993.48,3511.98,15,Delayed,Yes,3.0
T00169,2025-05-03,C054,P020,R16,T02,1,176.65,121.13,55.52,175.69,7,Completed,Yes,3.0
T00170,2025-05-20,C179,P003,R19,T06,10,10859.62,7985.06,2874.56,8795.59,8,Delayed,Yes,1.0
T00171,2025-01-08,C181,P030,R19,T01,2,1931.46,1410.88,520.58,1804.52,6,Completed,Yes,4.0
T00172,2024-10-19,C035,P024,R09,T04,2,1966.89,1270.19,696.7,2450.68,3,Completed,Yes,4.0
T00173,2025-06-08,C127,P031,R16,T04,8,4453.98,3061.13,1392.85,4072.23,8,Completed,Yes,3.0
T00174,2024-03-05,C096,P027,R05,T02,1,1300.72,950.2,350.52,1122.45,5,Completed,Yes,4.0
T00175,2025-12-21,C143,P003,R03,T07,4,3238.55,2164.62,1073.93,3755.34,8,Delayed,Yes,1.0
T00176,2024-12-15,C012,P008,R16,T07,10,2548.73,1974.05,574.68,2910.75,1,Completed,Yes,4.0
T00177,2025-12-17,C025,P024,R09,T02,5,5789.33,4503.33,1286.0,5669.56,4,Completed,Yes,
T00178,2024-11-02,C035,P005,R10,T01,10,18531.72,13666.93,4864.79,18625.62,6,In Progress,No,
T00179,2025-01-10,C093,P002,R04,T04,3,5092.69,,1152.08,4505.7,6,Completed,Yes,4.0
T00180,2024-08-15,C104,P021,R03,T01,4,4262.19,2969.83,1292.36,4290.92,8,Completed,Yes,5.0
T00181,2024-04-03,C113,P021,R19,T05,5,5493.8,4570.87,922.93,5798.1,2,Completed,Yes,4.0
T00182,2025-12-09,C097,P011,R19,T01,4,5442.63,3750.3,1692.33,5605.0,6,Delayed,Yes,1.0
T00183,2024-09-19,C195,P006,R14,T04,5,4777.36,3424.74,1352.62,5027.56,15,Delayed,Yes,4.0
T00184,2024-12-05,C052,P013,R09,T03,4,3349.22,2380.52,968.7,3177.39,2,Completed,Yes,4.0
T00185,2025-11-23,C110,P008,R16,T04,5,1133.68,710.1,423.58,1361.44,10,Delayed,Yes,4.0
T00186,2025-03-06,C034,P017,R01,T01,2,1099.36,886.37,212.99,1166.55,1,Completed,Yes,4.0
T00187,2024-06-15,C123,P016,R02,T01,3,5190.47,3724.76,1465.71,4922.84,6,In Progress,No,
T00188,2024-02-17,C086,P016,R17,T01,6,11936.74,9033.39,2903.35,9888.66,3,Completed,Yes,4.0
T00189,2024-12-03,C179,P029,R03,T06,4,4791.2,3101.2,1690.0,,4,In Progress,No,
T00190,2024-04-19,C189,P022,R15,T05,6,12820.32,10236.9,2583.42,10727.87,4,Completed,Yes,5.0
T00191,2024-05-20,C004,P027,R01,T02,8,9423.8,7698.01,1725.79,8796.75,3,In Progress,No,
T00192,2025-03-14,C158,P017,R01,T06,4,2266.76,1453.86,812.9,1923.23,3,Completed,Yes,4.0
T00193,2025-01-16,C091,P009,R02,T07,1,589.82,433.2,156.62,642.65,3,Completed,Yes,5.0
T00194,2025-05-27,C065,P021,R12,T03,2,2315.15,1685.43,629.72,2339.55,6,Delayed,Yes,3.0
T00195,2025-09-03,C077,P005,R02,T06,4,7526.67,5354.47,2172.2,7554.09,1,Completed,Yes,4.0
T00196,2024-07-15,C158,P008,R09,T04,2,473.39,351.71,121.68,524.79,5,In Progress,No,
T00197,2025-08-12,C180,P004,R02,T04,5,6671.29,4893.64,1777.65,7152.42,7,Delayed,Yes,2.0
T00198,2025-12-11,C048,P015,R07,T01,6,3750.37,2428.64,1321.73,3545.58,7,Completed,Yes,4.0
T00199,2025-11-08,C190,P003,R15,T01,8,6721.6,4227.45,2494.15,7427.18,5,Completed,Yes,5.0
T00200,2024-09-30,C060,P023,R17,T05,5,2305.68,1705.78,599.9,2662.54,7,Delayed,Yes,2.0
T00201,2025-12-05,C159,P018,R18,T07,8,7638.04,5207.05,2430.99,8219.6,1,Completed,Yes,4.0
T00202,2024-01-31,C024,P001,R02,T02,6,1611.61,1283.54,328.07,1595.53,4,Completed,Yes,5.0
T00203,2025-10-09,C168,P002,R19,T01,4,6127.82,4713.48,1414.34,5934.81,3,Completed,Yes,4.0
T00204,2024-04-19,C161,P022,R04,T05,8,14221.66,9906.95,4314.71,13852.12,3,Completed,Yes,4.0
T00205,2024-02-08,C188,P012,R06,T05,2,3203.75,2302.92,900.83,2986.94,2,Completed,Yes,3.0
T00206,2024-08-14,C007,P013,R03,T01,3,2387.15,1897.49,489.66,2660.98,5,Completed,Yes,4.0
T00207,2024-12-05,C086,P010,R10,T07,3,2827.54,2126.08,701.46,3402.41,7,Completed,Yes,3.0
T00208,2024-04-26,C150,P021,R07,T03,3,4060.68,2758.32,1302.36,3290.87,5,Completed,Yes,3.0
T00209,2024-11-03,C062,P015,R05,T03,6,3083.76,2371.74,712.02,3997.47,2,Completed,Yes,3.0
T00210,2025-05-01,C200,P023,R05,T07,4,2226.34,1500.47,725.87,2129.41,1,Completed,Yes,5.0
T00211,2025-04-13,C216,P029,R02,T02,4,6571.69,5387.17,1184.52,5438.74,4,Completed,Yes,5.0
T00212,2025-03-01,C026,P022,R18,T02,4,7351.91,5637.32,1714.59,7425.05,6,Completed,Yes,4.0
T00213,2025-09-01,C018,P020,R18,T06,2,307.31,242.55,64.76,319.85,4,Completed,Yes,5.0
T00214,2024-01-29,C094,P015,R16,T01,8,5231.01,4060.37,1170.64,5511.9,5,Completed,Yes,4.0
T00215,2024-05-02,C071,P026,R18,T04,5,1852.76,1529.74,323.02,1767.67,3,In Progress,No,
T00216,2024-11-18,C159,P026,R09,T01,4,1301.9,1050.44,251.46,,10,Delayed,Yes,2.0
T00217,2024-09-16,C080,P014,R16,T01,6,1122.48,865.36,257.12,1503.31,2,In Progress,No,
T00218,2024-11-19,C058,P014,R05,T07,4,862.0,610.35,251.65,998.69,4,In Progress,No,
T00219,2024-04-11,C072,P032,R10,T05,4,4146.54,3297.56,848.98,3494.42,4,Completed,Yes,5.0
T00220,2025-04-02,C080,P005,R19,T02,3,5184.59,3895.82,1288.77,,6,In Progress,No,
T00221,2025-02-05,C076,P027,R07,T03,8,9806.05,8111.25,1694.8,8962.85,7,Completed,Yes,5.0
T00222,2024-02-03,C116,P031,R13,T02,10,5424.61,4172.0,1252.61,4636.5,4,Completed,Yes,3.0
T00223,2025-08-23,C101,P029,R03,T04,5,6072.23,4602.25,1469.98,6167.09,6,Completed,Yes,4.0
T00224,2025-03-04,C129,P015,R01,T06,1,812.04,663.58,148.46,657.59,3,Completed,Yes,3.0
T00225,2025-06-17,C038,P025,R03,T01,2,3893.86,2465.35,1428.51,3750.17,2,In Progress,No,
T00226,2024-11-11,C011,P019,R09,T02,8,12378.07,9172.44,3205.63,15851.56,4,Completed,Yes,5.0
T00227,2025-12-13,C184,P003,R06,T02,4,4038.95,2692.65,1346.3,3431.74,8,Delayed,Yes,3.0
T00228,2025-02-26,C182,P023,R14,T04,2,1262.59,903.98,358.61,1056.43,4,Completed,Yes,5.0
T00229,2025-10-12,C134,P025,R01,T01,5,9134.97,7038.81,2096.16,8972.46,3,Completed,Yes,4.0
T00230,2025-10-06,C047,P001,R17,T05,10,2523.39,1679.02,844.37,2506.56,3,Completed,Yes,5.0
T00231,2024-12-17,C068,P032,R14,T06,8,7971.86,5130.85,2841.01,7793.95,2,Cancelled,No,
T00232,2024-08-25,C090,P032,R12,T01,5,4605.25,3131.08,1474.17,5474.73,2,Cancelled,No,
T00233,2024-12-31,C158,P003,R11,T05,5,4596.33,3046.08,1550.25,4447.36,2,Completed,Yes,5.0
T00234,2024-05-17,C011,P018,R09,T01,2,2073.77,1418.88,654.89,2165.55,6,Completed,Yes,5.0
T00235,2025-04-27,C173,P029,R15,T05,2,3252.18,2245.35,1006.83,2463.59,1,Completed,Yes,5.0
T00236,2024-03-04,C083,P016,R03,T02,1,1780.79,1470.05,310.74,1737.01,5,Completed,Yes,3.0
T00237,2024-11-18,C140,P012,R08,T07,3,4152.25,2800.48,1351.77,4599.7,3,Completed,Yes,4.0
T00238,2025-11-16,C046,P015,R04,T05,2,1056.99,717.02,339.97,1155.17,6,In Progress,No,
T00239,2024-09-24,C116,P008,R15,T01,4,751.75,578.13,173.62,1024.81,2,Completed,Yes,4.0
T00240,2024-12-20,C207,P028,R02,T03,2,2584.32,2050.32,534.0,3015.96,2,Completed,Yes,4.0
T00241,2024-01-25,C181,P005,R03,T01,8,14797.36,10160.44,4636.92,15614.06,6,Completed,Yes,4.0
